Attainment Value, "[1503]", not complete
Cost, "[1548]", not complete
Intrinsic Value, "[1236, 671, 858, 2057, 1432, 622, 1649, 1471, 770]"
Media triggered intrinsic value, "[1425, 1873, 1397, 150, 1768, 1058, 335, 1192, 20]"
Event triggered intrinsic value, "[377, 1118, 871, 26, 466, 1765, 1970, 1721, 1269]"
Intrinsic value (social), "[24, 41, 518, 646, 758, 920, 1009, 2000, 2079]"
Utility value, "[94, 1106, 31, 1686, 1896, 270, 2060, 934, 1001]"
Mastery experience, "[96, 487, 1338, 1354, 2049]" , not complete
Physiological or emotional arousal, "[960, 573, 1367, 1611, 600, 1315, 228, 276, 928]"
Social persuasion, "[705, 281, 1641, 887, 346, 1510, 471, 196, 1012]"
Vicarious experience, "[1545, 237, 109, 1622, 1208, 249, 2027, 695, 804]"
